st_save_date,st_event_name,st_event_date,st_kafka_offset,st_source_type,st_app_key,st_raw_message,st_available_message,st_status,st_error_type,st_error_info,st_report_time,st_update_at,st_save_time
2026-07-12,log_element_expose_client,2026-07-12,11_1657,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_system_language"":""ZH-CN"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_unique_id"":""6967113a-3199-4244-a910-02f88c1eba5c"",""st_ip"":""171.223.215.48"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_city"":""成都市"",""st_pk_id"":""b1781f45-537e-4f1e-b141-f4510184f01d"",""st_country"":""中国"",""st_event_name"":""log_element_expose_client"",""st_role_id"":""51"",""st_event_time"":1783829641071,""st_province"":""四川省"",""st_save_time"":1783829641,""st_account_id"":""51"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""properties"":{""element_module"":""create_api_key_success"",""element_name"":""create_api_key_success_xepose"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home""},""st_extend_info"":""{\""system_time\"":1783829639705,\""local_time\"":1783829641087,\""diff\"":-1382}"",""st_country_code"":""CN"",""st_os"":""PC""}",,1,,{},1783829643114,2026-07-12 04:14:03.205763,1783829641000
2026-07-12,log_page_expose_client,2026-07-12,2_1532,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_unique_id"":""6bcf9d42-3f21-4a3b-8451-5f1606d6a0c8"",""st_extend_info"":""{\""system_time\"":1783829595047,\""local_time\"":1783829596429,\""diff\"":-1382}"",""st_event_name"":""log_page_expose_client"",""st_save_time"":1783829597,""st_pk_id"":""c127d629-dc73-42ff-a9bc-b0f35a62c988"",""st_system_language"":""ZH-CN"",""properties"":{""current_page_url"":""https://odirouter.ai/en/login"",""ref_page_url"":""https://odirouter.ai/en"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""login_page""},""st_province"":""四川省"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_role_id"":"""",""st_ip"":""171.223.215.48"",""st_city"":""成都市"",""st_country_code"":""CN"",""st_event_time"":1783829593480,""st_os"":""PC"",""st_country"":""中国"",""st_account_id"":"""",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae""}",,1,,{},1783829599406,2026-07-12 04:13:19.478073,1783829597000
2026-07-12,log_page_expose_client,2026-07-12,9_1548,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783829597295,\""local_time\"":1783829598677,\""diff\"":-1382}"",""st_unique_id"":""1047030e-c052-4980-97fd-12865e6afa0c"",""st_city"":""成都市"",""st_os"":""PC"",""st_province"":""四川省"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_event_time"":1783829598674,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_country"":""中国"",""st_pk_id"":""5e34cf61-c017-4f0b-b04d-2315f8d2d618"",""properties"":{""current_page_name"":""home_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/home"",""ref_page_url"":""https://odirouter.ai/en/login"",""adid"":"""",""extend"":"""",""platform_type"":""web""},""st_role_id"":""51"",""st_account_id"":""51"",""st_system_language"":""ZH-CN"",""st_event_name"":""log_page_expose_client"",""st_ip"":""171.223.215.48"",""st_save_time"":1783829607,""st_country_code"":""CN""}",,1,,{},1783829611003,2026-07-12 04:13:31.085545,1783829607000
2026-07-12,log_element_expose_client,2026-07-12,1_1646,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_ip"":""171.223.215.48"",""st_unique_id"":""75a277c5-0efd-4b7d-9943-13c645662a31"",""st_pk_id"":""6be6373e-f56d-4663-b2bf-04de881a1c97"",""st_os"":""PC"",""st_event_time"":1783829622389,""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home"",""element_module"":""create_api_key"",""element_name"":""create_api_key_xepose""},""st_city"":""成都市"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_system_language"":""ZH-CN"",""st_account_id"":""51"",""st_event_name"":""log_element_expose_client"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_role_id"":""51"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_province"":""四川省"",""st_save_time"":1783829623,""st_country"":""中国"",""st_extend_info"":""{\""system_time\"":1783829621030,\""local_time\"":1783829622412,\""diff\"":-1382}"",""st_country_code"":""CN""}",,1,,{},1783829625101,2026-07-12 04:13:45.194419,1783829623000
2026-07-12,log_page_expose_client,2026-07-12,11_1655,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_system_language"":""ZH-CN"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home""},""st_unique_id"":""767901fc-0d8f-4dca-ac77-e1db791a5da3"",""st_event_name"":""log_page_expose_client"",""st_ip"":""171.223.215.48"",""st_province"":""四川省"",""st_event_time"":1783829619868,""st_os"":""PC"",""st_country"":""中国"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_pk_id"":""ee0be04f-7050-4360-a476-b44eed209be0"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":""51"",""st_role_id"":""51"",""st_extend_info"":""{\""system_time\"":1783829618487,\""local_time\"":1783829619869,\""diff\"":-1382}"",""st_country_code"":""CN"",""st_save_time"":1783829623,""st_city"":""成都市""}",,1,,{},1783829625230,2026-07-12 04:13:45.294256,1783829623000
2026-07-12,log_element_expose_client,2026-07-12,8_1643,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_save_time"":1783829629,""st_pk_id"":""8a15e5d6-165f-454b-8c9c-489faac6e86c"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_ip"":""171.223.215.48"",""st_province"":""四川省"",""properties"":{""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home"",""element_module"":""create_api_key_success"",""element_name"":""create_api_key_success_xepose"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page""},""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_role_id"":""51"",""st_event_name"":""log_element_expose_client"",""st_unique_id"":""e8f834e7-e59a-4c1e-82aa-0a8ca19f9352"",""st_city"":""成都市"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_event_time"":1783829628543,""st_extend_info"":""{\""system_time\"":1783829627174,\""local_time\"":1783829628556,\""diff\"":-1382}"",""st_system_language"":""ZH-CN"",""st_country_code"":""CN"",""st_country"":""中国"",""st_os"":""PC"",""st_account_id"":""51""}",,1,,{},1783829630759,2026-07-12 04:13:50.797930,1783829629000
2026-07-12,log_element_expose_client,2026-07-12,5_1696,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_ip"":""171.223.215.48"",""st_save_time"":1783829636,""st_extend_info"":""{\""system_time\"":1783829633787,\""local_time\"":1783829635169,\""diff\"":-1382}"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_system_language"":""ZH-CN"",""st_event_time"":1783829635155,""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home"",""element_module"":""create_api_key"",""element_name"":""create_api_key_xepose""},""st_event_name"":""log_element_expose_client"",""st_role_id"":""51"",""st_unique_id"":""52a69e89-2364-4564-a50a-2e6d2a1cc478"",""st_city"":""成都市"",""st_province"":""四川省"",""st_country"":""中国"",""st_os"":""PC"",""st_country_code"":""CN"",""st_pk_id"":""d305793d-dac2-438f-b87e-73c5af71e28f"",""st_account_id"":""51"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae""}",,1,,{},1783829637763,2026-07-12 04:13:57.802415,1783829636000
2026-07-12,log_element_expose_client,2026-07-12,8_1642,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_ip"":""171.223.215.48"",""st_country"":""中国"",""st_save_time"":1783825800,""st_event_name"":""log_element_expose_client"",""st_province"":""四川省"",""st_country_code"":""CN"",""st_account_id"":"""",""st_city"":""成都市"",""st_os"":""PC"",""st_system_language"":""ZH-CN"",""st_role_id"":"""",""st_unique_id"":""81a2ebc8-4a2d-468c-a9a0-bf9b51b0fbec"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_extend_info"":""{\""system_time\"":1783825791510,\""local_time\"":1783825791933,\""diff\"":-423}"",""properties"":{""platform_type"":""web"",""current_page_name"":""login_page"",""current_page_url"":""https://odirouter.ai/en/login"",""ref_page_url"":""https://odirouter.ai/en"",""element_module"":""create_your_account"",""element_name"":""create_your_account_expose"",""adid"":"""",""extend"":""""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_pk_id"":""7477aa70-5a9b-4902-a6d0-8154d6e87bea"",""st_event_time"":1783825791933,""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae""}",,1,,{},1783825802590,2026-07-12 03:10:02.686610,1783825800000
2026-07-12,log_click_client,2026-07-12,8_1641,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""1f8bfa2f-95e1-4d1f-9b42-fea1b64be494"",""st_save_time"":1783825800,""st_unique_id"":""8023dc08-5329-4492-91a3-1b23b87cdf7a"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""login_page"",""current_page_url"":""https://odirouter.ai/en/login"",""ref_page_url"":""https://odirouter.ai/en"",""element_name"":""Sign up""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_role_id"":"""",""st_extend_info"":""{\""system_time\"":1783825791507,\""local_time\"":1783825791930,\""diff\"":-423}"",""st_account_id"":"""",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_event_name"":""log_click_client"",""st_ip"":""171.223.215.48"",""st_os"":""PC"",""st_province"":""四川省"",""st_country"":""中国"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_country_code"":""CN"",""st_system_language"":""ZH-CN"",""st_city"":""成都市"",""st_event_time"":1783825791929}",,1,,{},1783825802590,2026-07-12 03:10:02.686483,1783825800000
2026-07-12,log_register_failed_client,2026-07-12,10_1639,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_event_name"":""log_register_failed_client"",""st_save_time"":1783825800,""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_role_id"":"""",""st_account_id"":"""",""st_country"":""中国"",""st_pk_id"":""9d5f79dd-ffc1-4528-b07d-f96375829bf2"",""st_system_language"":""ZH-CN"",""st_event_time"":1783825799732,""st_ip"":""171.223.215.48"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_city"":""成都市"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_os"":""PC"",""st_unique_id"":""1433856a-54e2-4603-9fcf-6203026795e5"",""st_country_code"":""CN"",""properties"":{""platform_type"":""web"",""error_message"":""Please enter the verification code."",""register_channel"":""email"",""adid"":"""",""extend"":""""},""st_extend_info"":""{\""system_time\"":1783825799312,\""local_time\"":1783825799735,\""diff\"":-423}"",""st_province"":""四川省""}",,1,,{},1783825803720,2026-07-12 03:10:03.787216,1783825800000
2026-07-12,log_click_client,2026-07-12,4_1594,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_system_language"":""ZH-CN"",""st_country_code"":""CN"",""st_pk_id"":""21a428e3-6741-4c1c-9ce2-36fd8a5e7482"",""properties"":{""ref_page_url"":""https://odirouter.ai/en"",""element_module"":""create_your_account"",""element_name"":""Create account and claim credits"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""login_page"",""current_page_url"":""https://odirouter.ai/en/login""},""st_city"":""成都市"",""st_os"":""PC"",""st_account_id"":"""",""st_role_id"":"""",""st_event_name"":""log_click_client"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_event_time"":1783825799730,""st_extend_info"":""{\""system_time\"":1783825799308,\""local_time\"":1783825799731,\""diff\"":-423}"",""st_ip"":""171.223.215.48"",""st_save_time"":1783825800,""st_unique_id"":""aea52160-de9d-412c-94c4-788e3f485c95"",""st_province"":""四川省"",""st_country"":""中国""}",,1,,{},1783825803720,2026-07-12 03:10:03.787358,1783825800000
2026-07-12,log_page_expose_client,2026-07-12,6_1669,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_country"":""中国"",""st_ip"":""171.223.215.48"",""st_city"":""成都市"",""st_system_language"":""ZH-CN"",""st_os"":""PC"",""st_account_id"":""51"",""st_pk_id"":""f4c6123c-84c0-4f52-8475-252ce2ff49c0"",""st_event_time"":1783825559657,""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_extend_info"":""{\""system_time\"":1783825561629,\""local_time\"":1783825562052,\""diff\"":-423}"",""properties"":{""platform_type"":""web"",""current_page_name"":""home_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/home"",""ref_page_url"":"""",""adid"":"""",""extend"":""""},""st_event_name"":""log_page_expose_client"",""st_country_code"":""CN"",""st_unique_id"":""c7b1a339-e6a4-4d93-b76f-7781e34424df"",""st_province"":""四川省"",""st_save_time"":1783825562,""st_role_id"":""51""}",,1,,{},1783825565555,2026-07-12 03:06:05.636841,1783825562000
2026-07-12,log_click_client,2026-07-12,0_1588,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_country_code"":""CN"",""st_pk_id"":""6ae6e10e-a082-42ad-ab43-768c5515ed27"",""st_country"":""中国"",""st_city"":""成都市"",""st_os"":""PC"",""properties"":{""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""element_module"":""create_api_key"",""element_name"":""Create"",""extend"":"""",""platform_type"":""web"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home"",""element_type"":""1"",""adid"":"""",""error_message"":"""",""element_content"":""t1""},""st_role_id"":""51"",""st_extend_info"":""{\""system_time\"":1783829639682,\""local_time\"":1783829641064,\""diff\"":-1382}"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":""51"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_save_time"":1783829641,""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae"",""st_event_time"":1783829641064,""st_province"":""四川省"",""st_unique_id"":""9c961471-c943-4706-a44a-6946f95ad1a3"",""st_event_name"":""log_click_client"",""st_system_language"":""ZH-CN"",""st_ip"":""171.223.215.48""}",,1,,{},1783829644242,2026-07-12 04:14:04.306491,1783829641000
2026-07-12,log_click_client,2026-07-12,5_1697,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_province"":""四川省"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_role_id"":""51"",""st_save_time"":1783829647,""properties"":{""ref_page_url"":""https://odirouter.ai/en/dashboard/home"",""element_module"":""create_api_key_success"",""element_name"":""Saved it"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys""},""st_pk_id"":""a52af79f-1690-4fc3-b6bf-2d41b2940d45"",""st_event_time"":1783829641735,""st_os"":""PC"",""st_extend_info"":""{\""system_time\"":1783829640353,\""local_time\"":1783829641735,\""diff\"":-1382}"",""st_ip"":""171.223.215.48"",""st_city"":""成都市"",""st_country_code"":""CN"",""st_account_id"":""51"",""st_unique_id"":""9bb12bfc-c00a-46e2-8cae-f73fd6f167bb"",""st_event_name"":""log_click_client"",""st_country"":""中国"",""st_system_language"":""ZH-CN"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae""}",,1,,{},1783829648770,2026-07-12 04:14:08.809419,1783829647000
2026-07-12,log_click_client,2026-07-12,11_1658,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""cc9b661f-b3d3-42f5-a2ca-f92a2f33fa6c"",""st_extend_info"":""{\""system_time\"":1783829647053,\""local_time\"":1783829648435,\""diff\"":-1382}"",""st_unique_id"":""01e1f5f7-d7dd-4c02-b52b-9d4cef72b2e6"",""st_province"":""四川省"",""st_event_time"":1783829648434,""st_country_code"":""CN"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_save_time"":1783829657,""st_country"":""中国"",""st_account_id"":""51"",""properties"":{""element_name"":""Delete"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""apikey_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/api-keys"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home""},""st_ip"":""171.223.215.48"",""st_distinct_id"":""fab31f5b-0fed-490e-b32f-54d5cd488d15"",""st_role_id"":""51"",""st_os"":""PC"",""st_city"":""成都市"",""st_event_name"":""log_click_client"",""st_system_language"":""ZH-CN"",""st_user_id"":""0000e86c-6d23-4bd9-bb3e-1438c9e5d5ae""}",,1,,{},1783829658775,2026-07-12 04:14:18.815982,1783829657000
